Name,Region,Date of Reporting ,Crop,Name of Pest/Disease,Severity of incidence,Source of Information,coordinates,s
,Cuttack Orissa  ,28-10-2013   ,Paddy   ,"    Stem Borer, leaf folder, Sheath rot & Blight    ",  Mild ,,"85.6985,20.4436",
,Kalahandi Orissa    ,09-10-2013   ,Red gram   , Aphids and Jassids  ,  Low to Moderate  ,PTI  ,"83.1021,19.8617",
,Wardha Maharashtra  ,28-10-2013   ,Cotton   ,   Boll worm   ,  Moderate ,Online report  ,"78.5827,20.7963",
,Amravati Maharashtra    ,24-10-2013   ,Cotton   ,   Boll worm   ,  Moderate ,CRIDA Report  ,"77.5694,21.1896",
,West Midnapore West Bengal  ,28-10-2013   ,Paddy   ,    Brown spot  ,  Moderate ,Online report  ,"87.2642,22.4122",
,Tiruchchirappalli Tamil Nadu    ,28-10-2013   ,Coconut   ,  Wilt    ,  Mild to moderate ,Online report  ,"78.5549,10.8767",
,Puri Orissa ,28-10-2013   ,Paddy   ,"    Stem Borer, leaf folder, Sheath rot & Blight    ",  Low  ,Online report  ,"85.7022,19.8666",
,Bolangir Orissa ,28-10-2013   ,Cotton   ,"   Sap sucking pest, spotted bollworm & leaf spot  ",  Low  ,Online report  ,"83.1666,20.5859",
,Koraput Orissa  ,28-10-2013   ,Paddy   ,"    Sap sucking pest, spotted bollworm & leaf spot  ",  Low  ,Online report  ,"82.7079,18.8148",
,Kalahandi Orissa    ,28-10-2013   ,Cotton   ,"   Sap sucking pest, spotted bollworm & leaf spot  ",  Low to Moderate  ,Online report  ,"83.1021,19.8617",
,Phulbani- Kandhamal Orissa  ,28-10-2013   ,Cotton   ,"   Sap sucking pest, spotted bollworm & leaf spot  ",  Low to Moderate  ,Online report  ,"84.0401,20.1226",
,Ernakulam Kerala    ,28-10-2013   ,Paddy   ,    Leaf folder & Stem Borer    ,  Moderate ,Online report  ,"76.4654,10.0521",
Pattambi,Palakkad Kerala    ,28-10-2013   ,Paddy   ,    Leaf folder & Stem Borer    ,  Moderate ,Online report  ,"76.1846,10.8005",
,Kollam Kerala   ,28-10-2013   ,Coconut   ,  Leaf eating caterpillar & Bud rot   ,  Moderate ,Online report  ,"76.8738,8.95293",
,Thiruvananthapuram Kerala   ,28-10-2013   ,Coconut   ,  Leaf eating caterpillar & Bud rot   ,  Moderate ,Online report  ,"77.0116,8.60229",
,Puri Orissa ,28-09-2013   ,Jute   , Semi looper     ,   ,CRIDA ,"85.8418,19.8134",
Lakshmipuram,Nalgonda Andhra Pradesh    ,10-10-2013   ,Paddy   ,    Brown Plant Hopper  ,  Severe   ,www.drricar.org  ,"79.2815,17.0619",
,Nellore Andhra Pradesh  ,01-10-2013   ,Paddy   ,    stem borer and gall midge   ,  Mild to moderate ,www.drricar.org  ,"79.7344,14.4089",
"Jalumuru, Saravakota, Amadalavalasa",", Amadalavalasa  <brSrikakulam Andhra Pradesh  ",18-10-2013   ,Paddy   ,    Plant hoppers   ,  Moderate to severe   ,www.drricar.org  ,"83.9819,18.5754",
"Ambaliara, Kauth-Gangad, Khanpur, Dashkroi",#NAME?,03-10-2013   ,Paddy   ,    WBPH & Yellow Stem Borer    ,  Moderate ,www.drricar.org  ,"72.2034,22.7273",
Silli & Sonahatu,  <brRanchi Jharkhand  ,10-10-2013   ,Paddy   ,"    Termite, YSB,  leaf folder, gall midge, gundhi bug, GLH, caseworm   ",  Mild to moderate ,www.drricar.org  ,"85.3314,23.2114",
"Kombanathuruthu, Puthenkari, Valiyakari, Kumbanji, Anjadipadam",", Valiyakari, Kumbanji, Anjadipadam <brAllaphuzha Kerala   ",15-11-2013   ,Paddy   ,    BPH and leaf folder ,  Severe   ,www.drricar.org  ,"76.4408,9.43083",
Wangbal,Thoubal Manipur    ,05-11-2013   ,Paddy   ,"    Stem borer, gundhi bug, BPH ",  Mild ,www.drricar.org  ,"93.9735,24.5361",
Harewali,Delhi Delhi    ,10-11-2013   ,Paddy   ,    Brown Plant Hopper  ,  Severe   ,www.drricar.org  ,"77.1167,28.6435",
"Barole, Akna, Sonatikuri",", Sonatikuri <brHugli West Bengal  ",04-11-2013   ,Paddy   ,"    Mealy bug, mite ",  Severe   ,www.drricar.org  ,"88.0759,22.8816",
,Jammu Jammu Kashmir ,04-11-2013   ,Toria   ,    Flea beetle ,  Moderate ,CRIDA Report  ,"74.8353,32.7403",
Kumilt-Thodupuzha, <brIdukki Kerala  ,04-11-2013   ,Pepper   ,   Pollu Beetle    ,  Moderate ,Online report  ,"77.023,9.87307",
,Pattanamtitta Kerala    ,02-11-2013   ,Rubber   ,   Fungal disease  ,  Mild to moderate ,Online report  ,"76.9174,9.2748",
,Raipur Chhattisgarh ,02-11-2013   ,Banana   ,   Skipper caterpillar ,  Low to Moderate  ,Farmnest  ,"82.1683,21.0687",
,Ludhiana Punjab ,02-11-2013   ,Basmati Rice   , Thrips & Leaf folder    ,  Mild to moderate ,Online report  ,"75.8241,30.8107",
,Nagaon Assam    ,10-10-2013   ,Jute   , Green Hairy caterpillar ,  Mild to moderate ,Online report  ,"92.8416,26.2255",
,Barpeta Assam   ,10-10-2013   ,Jute   , Green Hairy caterpillar ,  Moderate ,Online report  ,"91.0259,26.4396",
Matti,Udupi Karnataka    ,23-10-2013   ,Brinjal    , Shoot and Fruit borer   ,  Mild ,Online report  ,"74.8825,13.4648",
Hiriyur & Chitradurga, <brChitradurga Karnataka  ,16-10-2013   ,Pomegranate   ,  Leaf footed Bug ,  Moderate ,Indian Express  ,"76.6167,14.1669",
"Vidapanakal, Vajrakarur, Gooty, Yellanur, Madakasira & Putlur mandals",", Gooty, Yellanur, Madakasira & Putlur mandals <brAnantapur Andhra Pradesh ",03-11-2013   ,Bengal gram   ,  Spodoptera spp. ,  Mild ,Online report  ,"77.5722,14.4795",
"Tadipatri, Yellanur, Peddavadaguru, Peddapappur, Gooty & D Hirehal mandals",", Peddavadaguru, Peddapappur, Gooty & D Hirehal mandals <brAnantapur Andhra Pradesh    ",03-11-2013   ,Cotton   ,"   Mealy Bug, whitefly & sap sucking pest  ",  Mild ,Online report  ,"77.5722,14.4795",
,Anantapur Andhra Pradesh    ,03-11-2013   ,Castor   ,   Botrytis rot & Capsule borer    ,  Low  ,Online report  ,"77.5722,14.4795",
Garladinne Mandal,brAnantapur Andhra Pradesh ,03-11-2013   ,Paddy   ,    Brown Plant Hopper  ,  Moderate ,Online report  ,"77.5722,14.4795",
Kalyandurg Mandal,brAnantapur Andhra Pradesh ,03-11-2013   ,Citrus   ,   Leaf Minor  ,  Moderate to High ,Online report  ,"77.5722,14.4795",
Yellanuru & Putluru Mandals, Mandals <brAnantapur Andhra Pradesh   ,03-11-2013   ,Cluster bean   , Shoot and Fruit borer   ,  Low to Moderate  ,Online report  ,"77.5722,14.4795",
Kalyandurg Division,brAnantapur Andhra Pradesh ,03-11-2013   ,Brinjal    , Shoot and Fruit borer   ,  Mild ,Online report  ,"77.5722,14.4795",
,Kurnool Andhra Pradesh  ,04-11-2013   ,Bengal gram   ,  Spodoptera  ,  Low  ,IMD report  ,"78.0008,15.529",
"Koilkuntla, Allagadda & Nandyal Mandals", & Nandyal Mandals <brKurnool Andhra Pradesh   ,04-11-2013   ,Paddy   ,"    BPH, Blast & Sheath Blight  ",  Mild ,IMD report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,04-11-2013   ,Groundnut   ,    Late leaf spot  ,  Low to Moderate  ,IMD report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,04-11-2013   ,Red gram   , Leaf folder ,  Mild ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,04-11-2013   ,BT Cotton   ,    Sap sucking pest    ,  Mild ,Agri dept  ,"78.0008,15.529",
"Banaganapalle, Avuku & Nandyal Mandals", & Nandyal Mandals <brKurnool Andhra Pradesh   ,04-11-2013   ,Cotton   ,   Mealy Bug   ,  Moderate ,Agri dept  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,04-11-2013   ,Castor   ,   Tobacco cut worm & Semi-looper  ,  Low to Moderate  ,Agri dept  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,05-11-2013   ,Sugarcane   ,    Mealy Bug   ,  Mild ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,05-11-2013   ,Maize   ,    Rust    ,  Low  ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,05-11-2013   ,Chilli   ,   Mite    ,  Low to Moderate  ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,05-11-2013   ,Okra   , Shoot and Fruit borer   ,  Low to Moderate  ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,05-11-2013   ,Banana   ,   Leaf spot/Sigatoka  ,  Mild ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,05-11-2013   ,Turmeric   , Leaf spot   ,  Low  ,Online report  ,"78.0008,15.529",
,Kapurthala Punjab   ,02-11-2013   ,Sugarcane   ,    Leaf Hopper ,  Moderate ,Online report  ,"75.3898,31.3548",
Bhawanipatna,Kalahandi Orissa   ,02-11-2013   ,Vegetables   ,   Mealy Bug   ,  Low  ,Agri dept  ,"83.1667,19.8776",
,Akola Maharashtra   ,08-11-2013   ,Red gram   , Leaf roller ,  Mild to moderate ,,"77.0446,20.7503",
,Firozabad Uttar Pradesh ,08-11-2013   ,Jowar   ,    Ear Head & Mites    ,  Mild ,Online report  ,"78.4567,27.206",
,Ghaziabad Uttar Pradesh ,08-11-2013   ,Brinjal    , Fruit Borer ,  Low  ,Online report  ,"77.6978,28.7444",
,Mirzapur Uttar Pradesh  ,08-11-2013   ,Sugarcane   ,    Redrot  ,  Low  ,Online report  ,"82.6121,24.9885",
,Muzaffarnagar Uttar Pradesh ,08-11-2013   ,Red gram   , Leaf Roller ,  Low to Moderate  ,Online report  ,"77.5863,29.4435",
,South 24 Parganas West Bengal   ,08-11-2013   ,Paddy   ,    Brown spot  ,  Moderate ,Online report  ,"88.4014,22.0508",
,Pudukkottai Tamil Nadu  ,08-11-2013   ,Paddy   ,    Leaf folder ,  Low  ,Online report  ,"78.8665,10.3422",
,Allaphuzha Kerala   ,08-11-2013   ,Rubber   ,   Fungal disease  ,  Moderate ,Online report  ,"76.4408,9.43083",
,Kathua Jammu Kashmir    ,08-11-2013   ,Toria   ,    Flea beetle ,  Moderate ,Online report  ,"75.5633,32.5731",
,Raipur Chhattisgarh ,08-11-2013   ,Paddy   ,    Grass hopper    ,  Low  ,Online report  ,"82.1683,21.0687",
,Jorhat Assam    ,24-09-2013   ,Paddy   ,    Stem borer and Gundhi   ,  Mild to moderate ,Online report  ,"94.2753,26.7934",
,Golaghat Assam  ,24-09-2013   ,Paddy   ,    Gundhi bug and leaf folder  ,  Moderate ,Online report  ,"93.838,26.4752",
Chinnaganjum,Prakasam Andhra Pradesh    ,09-11-2013   ,Paddy   ,    Case worm or Tube worm  ,  Mild to moderate ,Online report  ,"79.5099,15.6113",
Valparai,Coimbatore Tamil Nadu  ,14-11-2013   ,Tea   ,  Tea Mosquito Bug    ,  Low to Moderate  ,UPASI Report  ,"76.9552,10.3279",
Munnar,Idukki Kerala  ,14-11-2013   ,Tea   ,  Tea Mosquito Bug    ,  Low to Moderate  ,Online report  ,"77.0609,10.0861",
Vendiperiyar,Idukki Kerala  ,14-11-2013   ,Tea   ,  Blister Blight  ,  Low  ,UPASI Report  ,"77.023,9.87307",
Salem,Salem Tamil Nadu   ,06-11-2013   ,Mulberry   , Leaf Webber ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","78.1733,11.6533",
Srivilliputtur,Virudhunagar Tamil Nadu    ,13-11-2013   ,Mulberry   , Leaf webber ,  Low  ,"Newspaper,Magazine,Report  ","77.896,9.48046",
,Bijapur Karnataka   ,06-11-2013   ,Red gram   , Caterpillar ,  Mild ,"Newspaper,Magazine,Report  ","75.9525,16.792",
,Kurnool Andhra Pradesh  ,19-11-2013   ,BT Cotton   ,    Sap sucking pest    ,  Low to Moderate  ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,19-11-2013   ,Castor   ,   Botrytis rot & Capsule borer    ,  Low  ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,19-11-2013   ,BT Cotton   ,    Sap sucking pest    ,  Low  ,IMD report  ,"78.0008,15.529",
,Anantapur Andhra Pradesh    ,19-11-2013   ,Castor   ,   Botrytis Rot    ,  Low  ,Online report  ,"77.5722,14.4795",
Pamiidi & Peddavelugu, <brAnantapur Andhra Pradesh   ,19-11-2013   ,Cotton   ,"   Mealy bug, White fly & Black arm    ",  Low to Moderate  ,Online report  ,"77.5722,14.4795",
,Kurnool Andhra Pradesh  ,19-11-2013   ,Red gram   , Leaf folder ,  Mild ,Online report  ,"78.0008,15.529",
Banaganapalle & Avuku, <brKurnool Andhra Pradesh ,19-11-2013   ,Cotton   ,   Mealy Bug   ,  Low to Moderate  ,Online report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,19-11-2013   ,Castor   ,   Botrytis Rot    ,  Low  ,Online report  ,"78.0008,15.529",
,Barddhaman West Bengal  ,25-11-2013   ,Vegetables   ,   Seedling Rot    ,  Low  ,Online report  ,"87.7633,23.4256",
,Gulbarga Karnataka  ,25-11-2013   ,Onion   ,    Thrips  ,  Mild ,Online report  ,"76.8818,17.0526",
,Bidar Karnataka ,25-11-2013   ,Bengal gram   ,  Pod borer   ,  Low  ,Online report  ,"77.2241,17.9501",
,Bijapur Karnataka   ,25-11-2013   ,Red gram   , Pod Borer   ,  Low  ,Online report  ,"75.9525,16.792",
,Raipur Chhattisgarh ,25-11-2013   ,Red gram   ," Pod borer, Leaf webber, Thrips and Grass hopper ",  Low  ,Online report  ,"82.1683,21.0687",
Thari na,brKheda Gujarat    ,27-09-2013   ,Castor   ,   Caterpillar ,  Low to Moderate  ,Online report  ,"73.304,23.0801",
Akakheda,Vadodara Gujarat   ,12-11-2013   ,Groundnut   ,    Groundnut Plant Hopper  ,  High ,"Newspaper,Magazine,Report  ","73.6143,22.1823",
"Barwala, Monamadapur, Bhodi khera and Panjwana",", Bhodi khera and Panjwana <brHisar Haryana    ",04-12-2013   ,Cotton   ,"   Whitefly, Mealybug & Leaf hopper    ",  Low to Moderate  ,CCS-HAU Survey report dt  -Dec-   ,"75.8072,29.2208",
,Krishnagiri Tamil Nadu  ,02-12-2013   ,Mango   ,    Leaf eating caterpillar ,  Mild ,Farmnest  ,"78.0239,12.492",
,Kheda Gujarat   ,12-12-2013   ,Chilli   ,"   Jassids,Thrips and Leaf curl    ",  Low  ,Online report  ,"73.0235,22.8764",
,Mahesana Gujarat    ,12-12-2013   ,Chilli   ,"   Jassids,Thrips  ",  Low  ,Online report  ,"72.4965,23.5795",
,Guntur Andhra Pradesh   ,12-12-2013   ,Chilli   ,   Jassids & Thrips    ,  Mild ,Online report  ,"80.0816,16.2912",
,Akola Maharashtra   ,16-12-2013   ,Red gram   , Pod borer   ,  Low to Moderate  ,Online report  ,"77.0446,20.7503",
,Amravati Maharashtra    ,16-12-2013   ,Bengal gram   ,  Gonocephalum Beetle ,  Low  ,Online report  ,"77.5694,21.1896",
,Dhule Maharashtra   ,16-12-2013   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"74.6033,21.1111",
,Solapur Maharashtra ,16-12-2013   ,Bengal gram   ,  Pod borer   ,  Low  ,Online report  ,"75.4848,17.789",
,Meerut Uttar Pradesh    ,16-12-2013   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"77.7836,29.0416",
,Sitapur Uttar Pradesh   ,16-12-2013   ,Brinjal    , Fruit Borer ,  Low  ,Online report  ,"80.847,27.5232",
"Hubli,Shigoan", <brDharwad Karnataka  ,06-12-2013   ,Jatropha   , Jatropha Mosaic Viru    ,  Mild to moderate ,Online report  ,"75.1563,15.3865",
Mohanpur,Nadia West Bengal  ,13-12-2013   ,Paddy   ,    Gundhi Bug  ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","88.5174,23.4777",
,Coimbatore Tamil Nadu   ,16-12-2013   ,Sugarcane   ,    Top borer and Red rot   ,  Low  ,Online report  ,"77.0763,10.8432",
,Villupuram Tamil Nadu   ,16-12-2013   ,Paddy   ,    Stem Borer  ,  Low  ,Online report  ,"79.2768,11.9603",
,Tiruchchirappalli Tamil Nadu    ,16-12-2013   ,Coconut   ,"  Eriophyid mite, Rhinoceros beetle, wilt     ",  Low  ,Online report  ,"78.5549,10.8767",
,Jammu Jammu Kashmir ,16-12-2013   ,Mustard   ,  Leaf webber ,  Moderate ,Online report  ,"74.8353,32.7403",
,Aurangabad Maharashtra  ,16-12-2013   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"75.32,19.88",
Regonda,Warangal Andhra Pradesh    ,01-12-2013   ,Paddy   ,    Stem Borer  ,  Low  ,"Newspaper,Magazine,Report  ","79.7917,17.95",
"Kommi, Kondapuram (M)", (M) <brNellore Andhra Pradesh ,01-12-2013   ,Citrus   ,   Leaf folder ,  Low  ,"Newspaper,Magazine,Report  ","79.7344,14.4089",
Marpalli,Rangareddi Andhra Pradesh  ,01-12-2013   ,Tomato   ,   TMV ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","78.1728,17.2842",
Chityala,Warangal Andhra Pradesh    ,01-12-2013   ,Cotton   ,   Heliothis caterpillar   ,  Low  ,"Newspaper,Magazine,Report  ","79.7917,17.95",
"Lingala, koilkuntla(M)",(M) <brKurnool Andhra Pradesh  ,16-12-2013   ,Red gram   , Pod borer   ,  Low  ,"Newspaper,Magazine,Report  ","78.0008,15.529",
Nyapanandi,Cuddapah Andhra Pradesh    ,16-12-2013   ,Chilli   ,   Leaf folder ,  Low  ,"Newspaper,Magazine,Report  ","78.7743,14.4507",
Samballi,Cuddapah Andhra Pradesh    ,16-12-2013   ,Groundnut   ,    Leaf folder ,  Low  ,"Newspaper,Magazine,Report  ","78.7743,14.4507",
,Allaphuzha Kerala   ,16-12-2013   ,Paddy   ,    Leaf folder and BLB ,  Mild ,Online report  ,"76.4408,9.43083",
,Palakkad Kerala ,16-12-2013   ,Paddy   ,    BPH and leaf folder ,  Mild ,Online report  ,"76.5544,10.7893",
,Kottayam Kerala ,16-12-2013   ,Banana   ,   Pseudostem weevil and Sigatoka  ,  Mild ,Online report  ,"76.6453,9.63054",
,Thiruvananthapuram Kerala   ,16-12-2013   ,Coconut   ,  Root wilt and Bud rot   ,  Low  ,Online report  ,"77.0116,8.60229",
,Janjgir- Champa Chhattisgarh    ,16-12-2013   ,Red gram   ," pod borer, grass hopper, leaf webber and thrips     ",  Low  ,Online report  ,"82.7307,21.9244",
"Kenjoor, Kalathur-Santhekatte, Kokkarne, Hebri, Nitte, Shirlal, Ajekar, Perdoor, Bairampally",#NAME?,14-12-2013   ,Paddy   ,    WBPH    ,  High ,Online report  ,"74.8825,13.4648",
,Akola Maharashtra   ,26-12-2013   ,Red gram   , Pod borer   ,  Moderate ,Online report  ,"77.0446,20.7503",
,Chandrapur Maharashtra  ,25-12-2013   ,Bengal gram   ,  Pod borer   ,  Moderate ,Online report  ,"79.4373,20.1175",
,Ratnagiri Maharashtra   ,22-12-2013   ,Mango   ,    Hopper  ,  Low to Moderate  ,Online report  ,"73.4587,17.2716",
,Jalandhar Punjab    ,23-12-2013   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"75.5537,31.2138",
,West Godavari Andhra Pradesh    ,23-12-2013   ,Paddy   ,"    leaf folder, shoot borer and leaf webber    ",  Low  ,Online report  ,"81.3923,16.8868",
,Puruliya West Bengal    ,23-12-2013   ,Vegetables   ,   Root grub   ,  Low  ,Online report  ,"86.4149,23.2758",
,Gadag Karnataka ,23-12-2013   ,Red gram   , Pod borer   ,  Moderate ,Online report  ,"75.6667,15.4278",
,Bidar Karnataka ,23-12-2013   ,Sunflower   ,    Leaf eating caterpillar ,  Moderate ,Online report  ,"77.2241,17.9501",
,Kalahandi Orissa    ,24-12-2013   ,Red gram   , Pod borer   ,  Moderate ,Online report  ,"83.1021,19.8617",
,Udhampur Jammu Kashmir  ,23-12-2013   ,Mustard   ,  White rust and aphids   ,  Moderate ,Online report  ,"75.0739,33.0592",
,Raipur Chhattisgarh ,24-12-2013   ,Red gram   ," Pod borer, leaf webber and Thrips   ",  Low  ,Online report  ,"82.1683,21.0687",
,Salem Tamil Nadu    ,24-12-2013   ,Rabi pulses   ,  Leaf eating caterpillar ,  Mild ,Online report  ,"78.2092,11.6631",
,Dharmapuri Tamil Nadu   ,24-12-2013   ,Maize   ,    Stem Borer  ,  Mild ,Online report  ,"78.1869,12.0922",
,Prakasam Andhra Pradesh ,29-12-2013   ,Cotton   ,   White fly   ,  Low  ,Online report  ,"79.5099,15.6113",
,Kurnool Andhra Pradesh  ,29-12-2013   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"78.0008,15.529",
Tenali,Guntur Andhra Pradesh  ,29-12-2013   ,Maize   ,    Shoot borer & leaf webber   ,  Low  ,Online report  ,"80.0816,16.2912",
Naguluppala Padu,brPrakasam Andhra Pradesh  ,29-12-2013   ,Bengal gram   ,  Pod Borer   ,  Low to Moderate  ,Online report  ,"79.5099,15.6113",
,Kathua Jammu Kashmir    ,02-01-2014   ,Bengal gram   ,  Collar Rot  ,  Moderate ,ICAR report  ,"75.5633,32.5731",
,Gondiya Maharashtra ,02-01-2014   ,Bengal gram   ,  Pod borer   ,  Moderate ,Online report  ,"80.1576,21.1216",
,Nandurbar Maharashtra   ,02-01-2014   ,Bengal gram   ,  Pod borer   ,  Mild ,Online report  ,"74.2152,21.5491",
,Jalna Maharashtra   ,02-01-2014   ,Jowar   ,    Leaf rust   ,  Low  ,Online report  ,"75.9826,19.8197",
,Parbhani Maharashtra    ,02-01-2014   ,Jowar   ,    Ear Head bug    ,  Low to Moderate  ,Online report  ,"76.6815,19.2858",
,Bidar Karnataka ,04-01-2014   ,Red gram   , Pod borer   ,  Moderate ,CRIDA Report  ,"77.2241,17.9501",
,Raichur Karnataka   ,04-01-2014   ,Sunflower   ,    Leaf eating caterpillar ,  Moderate ,Online report  ,"76.8906,16.0869",
,Coimbatore Tamil Nadu   ,04-01-2014   ,Sugarcane   ,    Red rot ,  Low  ,CRIDA Report  ,"77.0763,10.8432",
,Ramanathapuram Tamil Nadu   ,04-01-2014   ,Paddy   ,    Stem Borer  ,  Low  ,Online report  ,"78.6804,9.44259",
,Perambalur Tamil Nadu   ,04-01-2014   ,Maize   ,    Stem Borer  ,  Low  ,Online report  ,"78.8778,11.2605",
,Koraput Orissa  ,04-01-2014   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"82.7079,18.8148",
Tenali,Guntur Andhra Pradesh  ,11-01-2014   ,Maize   ,    seedling cut worm and stem borer    ,  Low to Moderate  ,IMD report  ,"80.0816,16.2912",
,Guntur Andhra Pradesh   ,11-01-2014   ,Chilli   ,   Thrips & Mites  ,  Low  ,IMD report  ,"80.0816,16.2912",
Nuziveedu & Mailavaram, <brKrishna Andhra Pradesh ,11-01-2014   ,Mango   ,    Hoppers & Powdery Mildew    ,  Low to Moderate  ,IMD report  ,"80.794,16.5492",
,Kurnool Andhra Pradesh  ,11-01-2014   ,Bengal gram   ,  Pod borer   ,  Low  ,IMD report  ,"78.0008,15.529",
Kodumur,Kurnool Andhra Pradesh ,11-01-2014   ,Brinjal    , Shoot and Fruit borer   ,  Low  ,IMD report  ,"78.0008,15.529",
,Sangli Maharashtra  ,23-12-2013   ,Safflower   ,    Aphid   ,  Low  ,Online report  ,"74.7721,17.1116",
,Bhandara Maharashtra    ,02-01-2014   ,Safflower   ,    Aphid   ,  Mild ,Online report  ,"79.8761,21.1628",
,Nanded Maharashtra  ,24-12-2013   ,Jowar   ,    Ear Head bug    ,  Mild ,Online report  ,"77.6198,19.1138",
,Kurnool Andhra Pradesh  ,11-01-2014   ,Chilli   ,   Midge & Powdey Mildew   ,  Low  ,IMD report  ,"78.0008,15.529",
,Kurnool Andhra Pradesh  ,11-01-2014   ,Rabi Groundnut   ,   Early leaf spot ,  Low to Moderate  ,IMD report  ,"78.0008,15.529",
,Aurangabad Maharashtra  ,28-10-2013   ,Cotton   ,   Sap sucking pest    ,  Low  ,Online report  ,"75.32,19.88",
dachepalli,Guntur Andhra Pradesh  ,08-12-2013   ,Chilli   ,   Leaf curl and Black spot    ,  Mild ,"Newspaper,Magazine,Report  ","80.0816,16.2912",
Sarasbedia,West Midnapore West Bengal ,13-01-2014   ,Potato   ,   Leaf blight ,  Low to Moderate  ,Field Survey  ,"87.2642,22.4122",
Anaiyampatty,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Caterpillar ,  Moderate ,NRSC-CICR visit  ,"78.8778,11.2605",
Tondappadi,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Caterpillar ,  Mild to moderate ,Team visit  ,"79.0538,11.1598",
Esanai,Perambalur Tamil Nadu  ,22-01-2014   ,Castor   ,   Semi-looper ,  Severe   ,GT Visit  ,"79.152,11.0137",
Anukkur,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Moderate ,GT Visit  ,"78.8778,11.2605",
Esanai,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Jassids ,  Mild ,GT Visit  ,"79.152,11.0137",
,Perambalur Tamil Nadu   ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Low to Moderate  ,Online report  ,"78.8778,11.2605",
Perali,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Mild to moderate ,Online report  ,"78.9514,11.2315",
Kalpadi,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Moderate to High ,Online report  ,"78.921,11.1939",
Perambalur,Perambalur Tamil Nadu  ,22-01-2014   ,Ridge gourd   ,  Leaf Minor  ,  Moderate ,Online report  ,"78.865,11.2379",
Palaiyam,Perambalur Tamil Nadu  ,23-01-2014   ,Cotton   ,   Red cotton Bug  ,  Mild ,Online report  ,"78.1361,10.7247",
Kattangudi,Virudhunagar Tamil Nadu    ,23-01-2014   ,Cotton   ,   Red cotton Bug  ,  Mild ,Online report  ,"77.896,9.48046",
Kariapatti,Virudhunagar Tamil Nadu    ,23-01-2014   ,Cotton   ,   Mealy Bug   ,  Moderate to High ,Online report  ,"77.896,9.48046",
Nuzveedu & Mailavaram, <brKrishna Andhra Pradesh ,21-01-2014   ,Mango   ,    Hoppers & Powdery Mildew    ,  Low to Moderate  ,IMD report  ,"80.794,16.5492",
,Kurnool Andhra Pradesh  ,21-02-2014   ,Black Gram   ,   Pod borer   ,  Low to Moderate  ,Online report  ,"78.0008,15.529",
Nandyal,Kurnool Andhra Pradesh ,21-02-2014   ,Brinjal    , Shoot and Fruit borer   ,  Low  ,Online report  ,"78.0008,15.529",
Adoni,Kurnool Andhra Pradesh ,21-02-2014   ,Chilli   ,   Midge & Powdery Mildew  ,  Low  ,Online report  ,"78.0008,15.529",
Ratangarh,Yamuna Nagar Haryana   ,01-02-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"77.3349,30.2541",
Dabkhera Upprla,brGurdaspur Punjab ,07-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"75.3719,32.0216",
Khurdbhan,Yamuna Nagar Haryana   ,09-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR report  ,"77.3349,30.2541",
Harsola,Kaithal Haryana    ,23-12-2013   ,Wheat   ,    Pink stem borer ,  Low  ,DWR report  ,"75.8111,22.5723",
Ratangarh,Yamuna Nagar Haryana   ,01-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"77.3349,30.2541",
